Gene,Acinetobacter_baumannii_strain1,Acinetobacter_baumannii_strain2,Enterobacter_cloacae_strain1,Enterobacter_cloacae_strain2,Enterococcus_faecium_strain1,Enterococcus_faecium_strain2,Klebsiella_pneumoniae_strain1,Klebsiella_pneumoniae_strain2,Pseudomonas_aeruginosa_strain1,Pseudomonas_aeruginosa_strain2,Staphylococcus_aureus_subsp_aureus_strain1,Staphylococcus_aureus_subsp_aureus_strain2
aac(6')-I,0,0,0,0,1,1,0,0,0,0,0,0
aac(6')-Ib-cr,0,0,0,0,0,0,0,1,0,0,0,0
aadA1,0,0,0,0,0,0,1,0,0,0,0,0
aadA2,0,0,0,0,0,0,1,0,0,0,0,0
abaF,1,0,0,0,0,0,0,0,0,0,0,0
ampC,0,0,1,0,0,0,0,0,0,0,0,0
amvA,1,0,0,0,0,0,0,0,0,0,0,0
ant(3'')-IIa,1,0,0,0,0,0,0,0,0,0,0,0
ant(6)-Ia,0,0,0,0,0,1,0,0,0,0,0,0
aph(3'')-Ib,0,0,0,0,0,0,1,1,0,0,0,0
aph(3')-IIIa,0,0,0,0,0,1,0,0,0,0,0,0
aph(3')-IIb,0,0,0,0,0,0,0,0,1,1,0,0
aph(3')-Ia,0,0,0,0,0,0,1,1,0,0,0,0
aph(6)-Id,0,0,0,0,0,0,1,1,0,0,0,0
arsA,0,0,0,0,0,0,1,1,0,0,0,0
arsB,0,0,0,0,0,0,1,1,0,0,1,1
arsC,0,0,1,1,0,0,1,1,0,0,0,0
arsD,0,0,0,1,0,0,1,1,0,0,0,0
arsR,0,0,0,1,0,0,1,1,0,0,0,0
asr,0,0,1,0,0,0,1,1,0,0,0,0
aur,0,0,0,0,0,0,0,0,0,0,1,1
blaADC-158,1,0,0,0,0,0,0,0,0,0,0,0
blaCTX-M-15,0,0,0,0,0,0,1,1,0,0,0,0
blaI,0,0,0,0,0,0,0,0,0,0,0,1
blaKPC-2,0,0,0,0,0,0,1,0,0,0,0,0
blaOXA-1,0,0,0,0,0,0,1,1,0,0,0,0
blaOXA-48,0,0,0,0,0,0,0,1,0,0,0,0
blaOXA-488,0,0,0,0,0,0,0,0,0,1,0,0
blaOXA-50,0,0,0,0,0,0,0,0,1,0,0,0
blaOXA-9,0,0,0,0,0,0,1,0,0,0,0,0
blaOXA-98,1,0,0,0,0,0,0,0,0,0,0,0
blaPDC-1,0,0,0,0,0,0,0,0,1,0,0,0
blaPDC-34,0,0,0,0,0,0,0,0,0,1,0,0
blaR1,0,0,0,0,0,0,0,0,0,0,0,1
blaSHV-11,0,0,0,0,0,0,0,1,0,0,0,0
blaSHV-28,0,0,0,0,0,0,1,0,0,0,0,0
blaTEM,0,0,0,0,0,0,1,0,0,0,0,0
blaTEM-1,0,0,0,0,0,0,0,1,0,0,0,0
blaZ,0,0,0,0,0,0,0,0,0,0,0,1
cadD,0,0,0,0,0,0,0,0,0,0,0,1
catA,0,0,1,0,0,1,0,0,0,0,0,0
catB7,0,0,0,0,0,0,0,0,1,1,0,0
clpK,0,0,0,1,0,0,1,1,0,0,0,0
clpL,0,0,0,0,1,0,0,0,0,0,0,0
cna,0,0,0,0,0,0,0,0,0,0,1,0
copB,0,0,0,0,1,1,0,0,0,0,0,0
cxpE,1,0,0,0,0,0,0,0,0,0,0,0
dfrA12,0,0,0,0,0,0,1,0,0,0,0,0
dfrA50,0,0,0,0,0,0,1,0,0,0,0,0
eat(A)_T450I,0,0,0,0,1,0,0,0,0,0,0,0
emrD,0,0,0,0,0,0,1,1,0,0,0,0
erm(B),0,0,0,0,0,1,1,0,0,0,0,0
erm(C),0,0,0,0,0,0,0,0,0,0,0,1
fieF,0,0,1,1,0,0,1,1,0,0,0,0
fosA,0,0,1,1,0,0,1,1,1,1,0,0
gyrA_D87A,0,0,0,0,0,0,1,0,0,0,0,0
gyrA_S83F,0,0,0,0,0,0,1,0,0,0,0,0
hld,0,0,0,0,0,0,0,0,0,0,1,1
hlgA,0,0,0,0,0,0,0,0,0,0,1,1
hlgB,0,0,0,0,0,0,0,0,0,0,1,1
hlgC,0,0,0,0,0,0,0,0,0,0,1,1
hsp20,0,0,0,1,0,0,1,1,0,0,0,0
icaC,0,0,0,0,0,0,0,0,0,0,1,1
lmrS,0,0,0,0,0,0,0,0,0,0,1,1
lukD,0,0,0,0,0,0,0,0,0,0,1,1
lukE,0,0,0,0,0,0,0,0,0,0,1,1
lukF-PV,0,0,0,0,0,0,0,0,0,0,1,0
lukS-PV,0,0,0,0,0,0,0,0,0,0,1,0
mcr-8.1,0,0,0,0,0,0,0,1,0,0,0,0
mecA,0,0,0,0,0,0,0,0,0,0,1,0
mecR1,0,0,0,0,0,0,0,0,0,0,1,0
mepA,0,0,0,0,0,0,0,0,0,0,1,1
merA,1,0,0,0,1,0,0,1,0,1,0,0
merC,1,0,0,0,0,0,0,1,0,0,0,0
merD,0,0,0,0,0,0,0,1,0,1,0,0
merE,0,0,0,0,0,0,0,1,0,1,0,0
merP,0,0,0,0,0,0,0,1,0,1,0,0
merR,1,0,0,0,0,0,0,1,0,1,0,0
merT,0,0,0,0,0,0,0,1,0,1,0,0
mexA,0,0,0,0,0,0,0,0,1,1,0,0
mexE,0,0,0,0,0,0,0,0,1,1,0,0
mexX,0,0,0,0,0,0,0,0,1,1,0,0
mph(A),0,0,0,0,0,0,1,0,0,0,0,0
msr(C),0,0,0,0,1,1,0,0,0,0,0,0
nreB,1,0,0,0,0,0,0,0,0,0,0,0
oqxA,0,0,0,0,0,0,1,1,0,0,0,0
oqxB,0,0,0,1,0,0,1,0,0,0,0,0
oqxB25,0,0,0,0,0,0,0,1,0,0,0,0
parC_S80I,0,0,0,0,0,0,1,0,0,0,0,0
pcoA,0,0,0,0,0,0,1,1,0,0,0,0
pcoB,0,0,0,0,0,0,1,1,0,0,0,0
pcoC,0,0,0,1,0,0,1,1,0,0,0,0
pcoD,0,0,0,0,0,0,1,1,0,0,0,0
pcoE,0,0,0,1,0,0,1,1,0,0,0,0
pcoR,0,0,0,1,0,0,1,1,0,0,0,0
pcoS,0,0,0,1,0,0,0,1,0,0,0,0
pmrB_V15I,0,0,0,0,0,0,0,0,0,1,0,0
qacEdelta1,0,0,0,0,0,0,1,0,0,0,0,0
ramR_A19V,0,0,0,0,0,0,1,0,0,0,0,0
sak,0,0,0,0,0,0,0,0,0,0,1,1
sat4,0,0,0,0,0,1,0,0,0,0,0,0
scn,0,0,0,0,0,0,0,0,0,0,1,1
sea,0,0,0,0,0,0,0,0,0,0,1,0
sec2,0,0,0,0,0,0,0,0,0,0,1,0
seh,0,0,0,0,0,0,0,0,0,0,1,0
sek,0,0,0,0,0,0,0,0,0,0,1,0
sel,0,0,0,0,0,0,0,0,0,0,1,0
selX,0,0,0,0,0,0,0,0,0,0,0,1
sep,0,0,0,0,0,0,0,0,0,0,0,1
seq,0,0,0,0,0,0,0,0,0,0,1,0
silA,0,0,0,0,0,0,1,1,0,0,0,0
silB,0,0,0,1,0,0,1,1,0,0,0,0
silC,0,0,0,0,0,0,1,1,0,0,0,0
silE,0,0,0,1,0,0,0,1,0,0,0,0
silF,0,0,0,1,0,0,1,1,0,0,0,0
silP,0,0,0,0,0,0,1,1,0,0,0,0
silR,0,0,0,0,0,0,1,1,0,0,0,0
silS,0,0,0,0,0,0,1,1,0,0,0,0
splA,0,0,0,0,0,0,0,0,0,0,1,1
splB,0,0,0,0,0,0,0,0,0,0,1,1
splE,0,0,0,0,0,0,0,0,0,0,0,1
sul1,0,0,0,0,0,0,1,0,0,0,0,0
sul2,1,0,0,0,0,0,0,1,0,0,0,0
tet(38),0,0,0,0,0,0,0,0,0,0,1,1
tet(A),0,0,0,0,0,0,1,0,0,0,0,0
tet(L),0,0,0,0,0,1,0,0,0,0,0,0
tet(M),0,0,0,0,0,1,0,0,0,0,0,0
ybtP,0,0,0,0,0,0,0,1,0,0,0,0
ybtQ,0,0,0,0,0,0,0,1,0,0,0,0